phase,check_id,check_name,category,required_state,observed_state,result,severity,fail_closed,blocks,operator_approval_required,external_effect,evidence,recommendation,timestamp_utc
Phase 521-524,IBKR-DRYRUN-LAUNCH-000,Final launch decision,final_decision,explicit_future_operator_authorization_before_any_real_connection,authorization_not_present_no_go,NO_GO,CRITICAL,YES,IBKR_CONNECTION,YES,NONE,dryrun_launch_packet_generated_without_execution_command,do_not_run_any_real_connection_from_this_packet,2026-05-26T02:30:16+00:00
Phase 521-524,IBKR-DRYRUN-LAUNCH-001,Artifact-only launch packet,artifact_boundary,blocked_for_phase_521_524,blocked_no_runtime_call_attempted,PASS,HIGH,YES,EXTERNAL_EXECUTION,NO,NONE,artifact_only_checker_no_external_side_effect,keep_blocked_until_separate_explicit_operator_authorization,2026-05-26T02:30:16+00:00
Phase 521-524,IBKR-DRYRUN-LAUNCH-002,No connection command execution,connection_boundary,blocked_for_phase_521_524,blocked_no_runtime_call_attempted,PASS,CRITICAL,YES,IBKR_CONNECTION,YES,NONE,artifact_only_checker_no_external_side_effect,keep_blocked_until_separate_explicit_operator_authorization,2026-05-26T02:30:16+00:00
Phase 521-524,IBKR-DRYRUN-LAUNCH-003,No network probe,network_boundary,blocked_for_phase_521_524,blocked_no_runtime_call_attempted,PASS,CRITICAL,YES,NETWORK_PROBE,YES,NONE,artifact_only_checker_no_external_side_effect,keep_blocked_until_separate_explicit_operator_authorization,2026-05-26T02:30:16+00:00
Phase 521-524,IBKR-DRYRUN-LAUNCH-004,No market data request,market_data_boundary,blocked_for_phase_521_524,blocked_no_runtime_call_attempted,PASS,CRITICAL,YES,MARKET_DATA_REQUEST,YES,NONE,artifact_only_checker_no_external_side_effect,keep_blocked_until_separate_explicit_operator_authorization,2026-05-26T02:30:16+00:00
Phase 521-524,IBKR-DRYRUN-LAUNCH-005,No account or positions read,account_boundary,blocked_for_phase_521_524,blocked_no_runtime_call_attempted,PASS,CRITICAL,YES,ACCOUNT_OR_POSITIONS_READ,YES,NONE,artifact_only_checker_no_external_side_effect,keep_blocked_until_separate_explicit_operator_authorization,2026-05-26T02:30:16+00:00
Phase 521-524,IBKR-DRYRUN-LAUNCH-006,No historical data request,historical_boundary,blocked_for_phase_521_524,blocked_no_runtime_call_attempted,PASS,CRITICAL,YES,HISTORICAL_DATA_REQUEST,YES,NONE,artifact_only_checker_no_external_side_effect,keep_blocked_until_separate_explicit_operator_authorization,2026-05-26T02:30:16+00:00
Phase 521-524,IBKR-DRYRUN-LAUNCH-007,No contract qualification,contract_boundary,blocked_for_phase_521_524,blocked_no_runtime_call_attempted,PASS,CRITICAL,YES,CONTRACT_QUALIFICATION,YES,NONE,artifact_only_checker_no_external_side_effect,keep_blocked_until_separate_explicit_operator_authorization,2026-05-26T02:30:16+00:00
Phase 521-524,IBKR-DRYRUN-LAUNCH-008,No trading action,trading_boundary,blocked_for_phase_521_524,blocked_no_runtime_call_attempted,PASS,CRITICAL,YES,ORDER_CANCEL_REBALANCE,YES,NONE,artifact_only_checker_no_external_side_effect,keep_blocked_until_separate_explicit_operator_authorization,2026-05-26T02:30:16+00:00
Phase 521-524,IBKR-DRYRUN-LAUNCH-009,No Telegram real send,telegram_boundary,blocked_for_phase_521_524,blocked_no_runtime_call_attempted,PASS,CRITICAL,YES,TELEGRAM_REAL_SEND,YES,NONE,artifact_only_checker_no_external_side_effect,keep_blocked_until_separate_explicit_operator_authorization,2026-05-26T02:30:16+00:00
Phase 521-524,IBKR-DRYRUN-LAUNCH-010,No secret or account id disclosure,secret_boundary,blocked_for_phase_521_524,blocked_no_runtime_call_attempted,PASS,CRITICAL,YES,SECRET_OR_ACCOUNT_ID_DISCLOSURE,YES,NONE,artifact_only_checker_no_external_side_effect,keep_blocked_until_separate_explicit_operator_authorization,2026-05-26T02:30:16+00:00
Phase 521-524,IBKR-DRYRUN-LAUNCH-011,Prior readiness labels preserved,state_label_guard,blocked_for_phase_521_524,blocked_no_runtime_call_attempted,PASS,HIGH,YES,PRODUCTION_READY_RECLASSIFICATION,NO,NONE,artifact_only_checker_no_external_side_effect,keep_blocked_until_separate_explicit_operator_authorization,2026-05-26T02:30:16+00:00
Phase 521-524,IBKR-DRYRUN-LAUNCH-012,Connection skeleton intentionally omitted,execution_skeleton_boundary,no_execute_path_in_this_phase,execution_command_included_NO,PASS,HIGH,YES,REAL_CONNECTION_EXECUTION,YES,NONE,cli_generates_artifacts_only,add_any_future_execute_path_only_after_new_user_authorization,2026-05-26T02:30:16+00:00
